team,playerName,route,FP_yards,FP_TD,FP_receiving,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,3.0,1.6,0,2,1.2,2,68,0.029411764705882353
PHI,A.J. Brown,4.0,15.400000000000002,6,13,0.7818181818181817,15,68,0.22058823529411764
PHI,A.J. Brown,6.0,14.0,0,9,0.6388888888888888,19,68,0.27941176470588236
PHI,A.J. Brown,5.0,15.3,6,9,0.8657142857142858,14,68,0.20588235294117646
PHI,A.J. Brown,8.0,7.1,12,4,1.155,6,68,0.08823529411764706
PHI,A.J. Brown,2.0,9.9,0,8,0.5966666666666668,12,68,0.17647058823529413
ARI,A.J. Green,3.0,2.5,0,2,0.5625,3,54,0.05555555555555555
ARI,A.J. Green,7.0,3.4000000000000004,0,1,0.23157894736842108,2,54,0.037037037037037035
ARI,A.J. Green,4.0,21.400000000000002,0,18,0.35178571428571426,24,54,0.4444444444444444
ARI,A.J. Green,6.0,3.2,0,2,0.14054054054054055,3,54,0.05555555555555555
ARI,A.J. Green,5.0,3.2,0,4,0.26666666666666666,6,54,0.1111111111111111
ARI,A.J. Green,8.0,9.0,0,3,0.41379310344827586,6,54,0.1111111111111111
ARI,A.J. Green,2.0,7.700000000000001,0,6,0.38055555555555554,10,54,0.18518518518518517
GB,Aaron Jones,6.0,0.0,0,0,0.0,1,3,0.3333333333333333
GB,Aaron Jones,2.0,2.6,0,2,0.9200000000000002,2,3,0.6666666666666666
MIA,Adam Shaheen,7.0,0.0,0,0,0.0,1,8,0.125
MIA,Adam Shaheen,4.0,1.2000000000000002,0,2,0.11851851851851852,4,8,0.5
MIA,Adam Shaheen,5.0,2.9000000000000004,0,3,0.29500000000000004,3,8,0.375
MIN,Adam Thielen,3.0,3.4000000000000004,6,3,0.8266666666666667,6,59,0.1016949152542373
MIN,Adam Thielen,7.0,1.8,0,1,0.12727272727272726,2,59,0.03389830508474576
MIN,Adam Thielen,4.0,8.4,0,8,0.264516129032258,10,59,0.1694915254237288
MIN,Adam Thielen,6.0,11.000000000000002,0,8,0.40425531914893614,13,59,0.22033898305084745
MIN,Adam Thielen,5.0,8.6,12,9,0.6040816326530611,12,59,0.2033898305084746
MIN,Adam Thielen,8.0,8.100000000000001,12,5,1.1952380952380952,8,59,0.13559322033898305
MIN,Adam Thielen,2.0,5.1000000000000005,6,5,0.503125,8,59,0.13559322033898305
NO,Adam Trautman,7.0,1.7000000000000002,0,1,0.15000000000000002,2,11,0.18181818181818182
NO,Adam Trautman,4.0,2.8,0,4,0.19999999999999998,5,11,0.45454545454545453
NO,Adam Trautman,6.0,2.1,0,2,0.24117647058823527,2,11,0.18181818181818182
NO,Adam Trautman,2.0,0.0,0,0,0.0,2,11,0.18181818181818182
DEN,Albert Okwuegbunam,7.0,0.0,0,0,0.0,1,6,0.16666666666666666
DEN,Albert Okwuegbunam,4.0,3.4000000000000004,0,3,0.24615384615384614,4,6,0.6666666666666666
DEN,Albert Okwuegbunam,8.0,0.0,0,0,0.0,1,6,0.16666666666666666
MIN,Albert Wilson,4.0,5.0,0,6,0.3793103448275862,6,13,0.46153846153846156
MIN,Albert Wilson,5.0,1.5,0,2,0.25,5,13,0.38461538461538464
MIN,Albert Wilson,2.0,1.2000000000000002,0,2,0.2285714285714286,2,13,0.15384615384615385
MIA,Alec Ingold,7.0,0.0,0,0,0.0,1,1,1.0
MIN,Alexander Mattison,4.0,2.1,0,4,0.22592592592592592,5,9,0.5555555555555556
MIN,Alexander Mattison,6.0,1.3000000000000003,0,2,0.3666666666666667,4,9,0.4444444444444444
GB,Allen Lazard,7.0,2.0,6,1,0.5,1,25,0.04
GB,Allen Lazard,6.0,5.4,0,3,0.19999999999999996,3,25,0.12
GB,Allen Lazard,5.0,7.1,6,9,0.4702127659574468,12,25,0.48
GB,Allen Lazard,8.0,3.1000000000000005,0,2,0.24285714285714288,4,25,0.16
GB,Allen Lazard,2.0,4.0,6,4,0.358974358974359,5,25,0.2
NO,Alvin Kamara,4.0,7.400000000000002,6,11,0.5083333333333334,13,26,0.5
NO,Alvin Kamara,5.0,4.7,0,9,0.5074074074074074,11,26,0.4230769230769231
NO,Alvin Kamara,2.0,1.4000000000000001,0,1,0.4000000000000001,2,26,0.07692307692307693
CLE,Amari Cooper,3.0,4.300000000000001,6,4,1.7875,6,79,0.0759493670886076
CLE,Amari Cooper,7.0,3.9000000000000004,6,2,0.5666666666666667,2,79,0.02531645569620253
CLE,Amari Cooper,4.0,12.299999999999999,0,14,0.3506666666666667,23,79,0.2911392405063291
CLE,Amari Cooper,6.0,4.800000000000001,0,4,0.22564102564102567,5,79,0.06329113924050633
CLE,Amari Cooper,5.0,8.4,6,11,0.5521739130434783,16,79,0.20253164556962025
CLE,Amari Cooper,8.0,8.700000000000001,6,3,0.47837837837837843,4,79,0.05063291139240506
CLE,Amari Cooper,2.0,14.3,6,14,0.7456521739130434,23,79,0.2911392405063291
GB,Amari Rodgers,2.0,0.0,0,0,0.0,2,2,1.0
DET,Amon-Ra St. Brown,7.0,0.0,0,0,0.0,1,62,0.016129032258064516
DET,Amon-Ra St. Brown,4.0,14.999999999999998,24,19,0.6823529411764707,20,62,0.3225806451612903
DET,Amon-Ra St. Brown,6.0,6.6,0,2,0.26875,4,62,0.06451612903225806
DET,Amon-Ra St. Brown,5.0,21.900000000000002,0,23,0.7126984126984127,32,62,0.5161290322580645
DET,Amon-Ra St. Brown,2.0,4.6,0,4,0.5058823529411764,5,62,0.08064516129032258
HOU,Andy Janovich,6.0,0.0,0,0,0.0,1,1,1.0
ATL,Anthony Firkser,7.0,1.5,6,1,0.7083333333333334,2,16,0.125
ATL,Anthony Firkser,4.0,5.6,0,7,0.2625,8,16,0.5
ATL,Anthony Firkser,5.0,2.5,0,3,0.25,4,16,0.25
ATL,Anthony Firkser,2.0,2.6000000000000005,0,2,0.2705882352941177,2,16,0.125
CLE,Anthony Schwartz,3.0,1.3,0,1,0.7666666666666666,1,14,0.07142857142857142
CLE,Anthony Schwartz,7.0,4.4,0,1,0.54,2,14,0.14285714285714285
CLE,Anthony Schwartz,6.0,3.1,0,2,0.425,3,14,0.21428571428571427
CLE,Anthony Schwartz,5.0,1.2000000000000002,0,2,0.17777777777777778,3,14,0.21428571428571427
CLE,Anthony Schwartz,8.0,0.0,0,0,0.0,2,14,0.14285714285714285
CLE,Anthony Schwartz,2.0,0.0,0,0,0.0,3,14,0.21428571428571427
ARI,Antoine Wesley,7.0,0.0,0,0,0.0,1,18,0.05555555555555555
ARI,Antoine Wesley,4.0,6.9,0,8,0.21285714285714286,12,18,0.6666666666666666
ARI,Antoine Wesley,2.0,1.3000000000000003,0,2,0.19411764705882353,5,18,0.2777777777777778
WAS,Antonio Gibson,4.0,2.3000000000000003,0,4,0.2172413793103448,5,7,0.7142857142857143
WAS,Antonio Gibson,2.0,1.4000000000000001,0,2,1.1333333333333335,2,7,0.2857142857142857
IND,Ashton Dulin,7.0,0.0,0,0,0.0,3,8,0.375
IND,Ashton Dulin,6.0,2.3000000000000003,0,1,0.4714285714285715,2,8,0.25
IND,Ashton Dulin,8.0,7.9,6,2,1.325,3,8,0.375
ATL,Auden Tate,2.0,3.2,0,2,1.04,2,2,1.0
LAC,Austin Ekeler,4.0,7.700000000000001,12,9,0.6674418604651162,10,28,0.35714285714285715
LAC,Austin Ekeler,6.0,5.7,0,2,0.385,6,28,0.21428571428571427
LAC,Austin Ekeler,5.0,3.7,0,8,0.33428571428571424,12,28,0.42857142857142855
TEN,Austin Hooper,7.0,0.0,0,0,0.0,4,33,0.12121212121212122
TEN,Austin Hooper,4.0,0.9,0,2,0.0659090909090909,2,33,0.06060606060606061
TEN,Austin Hooper,6.0,2.7,0,3,0.43846153846153846,4,33,0.12121212121212122
TEN,Austin Hooper,5.0,6.1000000000000005,0,10,0.29272727272727267,14,33,0.42424242424242425
TEN,Austin Hooper,2.0,6.5,0,6,1.25,9,33,0.2727272727272727
LAR,Ben Skowronek,3.0,0.0,0,0,0.0,1,9,0.1111111111111111
LAR,Ben Skowronek,6.0,1.1,0,1,0.19090909090909092,6,9,0.6666666666666666
LAR,Ben Skowronek,8.0,1.5,0,1,0.35714285714285715,2,9,0.2222222222222222
KC,Blake Bell,6.0,1.1,0,1,0.7000000000000001,1,1,1.0
HOU,Brandin Cooks,3.0,1.3,0,2,0.36666666666666664,5,79,0.06329113924050633
HOU,Brandin Cooks,7.0,11.4,0,4,0.44,8,79,0.10126582278481013
