,nickName,blockingSchemeType_pooled,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
0,49ers,Gap,42,12.799999999999999,6,0,18.799999999999997,0.4476190476190475,42,454,0.09251101321585903
1,49ers,Other,123,66.50000000000004,42,0,108.5,0.8821138211382114,123,454,0.2709251101321586
2,49ers,Zone,289,94.89999999999998,42,-2,134.90000000000003,0.4667820069204153,289,454,0.6365638766519823
3,Bears,Gap,32,14.400000000000004,12,0,26.4,0.825,32,382,0.08376963350785341
4,Bears,Other,136,76.10000000000002,24,-1,99.10000000000004,0.7286764705882356,136,382,0.35602094240837695
5,Bears,Zone,214,81.89999999999996,42,0,123.89999999999995,0.5789719626168222,214,382,0.5602094240837696
6,Bengals,Gap,15,6.500000000000001,0,0,6.500000000000001,0.4333333333333334,15,413,0.03631961259079903
7,Bengals,Other,140,76.70000000000005,42,0,118.69999999999997,0.8478571428571426,140,413,0.3389830508474576
8,Bengals,Zone,258,105.80000000000004,42,-2,145.80000000000015,0.565116279069768,258,413,0.6246973365617433
9,Bills,Gap,21,5.199999999999999,0,0,5.199999999999999,0.24761904761904757,21,372,0.056451612903225805
10,Bills,Other,164,95.60000000000001,42,-1,136.6,0.8329268292682926,164,372,0.44086021505376344
11,Bills,Zone,187,76.90000000000002,78,0,154.89999999999998,0.8283422459893047,187,372,0.5026881720430108
12,Broncos,Gap,20,10.900000000000002,6,0,16.900000000000002,0.8450000000000001,20,345,0.057971014492753624
13,Broncos,Other,120,64.8,18,-2,80.79999999999995,0.673333333333333,120,345,0.34782608695652173
14,Broncos,Zone,205,76.8000000000001,18,0,94.80000000000013,0.46243902439024454,205,345,0.5942028985507246
15,Browns,Gap,25,9.900000000000002,6,0,15.9,0.636,25,343,0.0728862973760933
16,Browns,Other,115,48.599999999999994,42,0,90.59999999999994,0.7878260869565212,115,343,0.33527696793002915
17,Browns,Zone,203,97.29999999999998,30,0,127.30000000000004,0.6270935960591135,203,343,0.5918367346938775
18,Buccaneers,Gap,22,5.400000000000001,0,0,5.400000000000001,0.2454545454545455,22,355,0.061971830985915494
19,Buccaneers,Other,116,69.29999999999998,30,-1,98.30000000000003,0.8474137931034484,116,355,0.3267605633802817
20,Buccaneers,Zone,217,74.80000000000005,42,-3,113.80000000000004,0.5244239631336407,217,355,0.6112676056338028
21,Cardinals,Gap,18,5.5,6,0,11.5,0.6388888888888888,18,382,0.04712041884816754
22,Cardinals,Other,110,60.400000000000006,24,-1,83.4,0.7581818181818182,110,382,0.2879581151832461
23,Cardinals,Zone,254,116.69999999999999,24,-1,139.7000000000001,0.5500000000000004,254,382,0.6649214659685864
24,Chargers,Gap,33,12.5,0,0,12.5,0.3787878787878788,33,416,0.07932692307692307
25,Chargers,Other,115,63.10000000000003,24,0,87.10000000000001,0.7573913043478262,115,416,0.2764423076923077
26,Chargers,Zone,268,123.50000000000001,84,-3,204.49999999999997,0.7630597014925372,268,416,0.6442307692307693
27,Chiefs,Gap,35,14.600000000000003,0,0,14.600000000000003,0.41714285714285726,35,406,0.08620689655172414
28,Chiefs,Other,159,88.59999999999995,60,-1,147.59999999999994,0.9283018867924524,159,406,0.3916256157635468
29,Chiefs,Zone,212,80.99999999999996,30,-3,107.99999999999991,0.5094339622641505,212,406,0.5221674876847291
30,Colts,Gap,15,5.800000000000002,0,0,5.800000000000002,0.38666666666666677,15,314,0.04777070063694268
31,Colts,Other,117,72.39999999999995,18,0,90.39999999999996,0.7726495726495723,117,314,0.37261146496815284
32,Colts,Zone,182,75.8,30,-2,103.79999999999998,0.5703296703296702,182,314,0.5796178343949044
33,Cowboys,Gap,14,6.2,0,0,6.2,0.4428571428571429,14,356,0.03932584269662921
34,Cowboys,Other,133,74.89999999999998,18,0,92.89999999999998,0.6984962406015036,133,356,0.37359550561797755
35,Cowboys,Zone,209,84.40000000000003,54,-1,137.4000000000001,0.6574162679425841,209,356,0.5870786516853933
36,Dolphins,Gap,29,12.600000000000003,12,-1,23.6,0.8137931034482759,29,358,0.08100558659217877
37,Dolphins,Other,108,64.20000000000002,24,-1,87.20000000000003,0.8074074074074077,108,358,0.3016759776536313
38,Dolphins,Zone,221,89.90000000000003,48,-1,136.90000000000006,0.6194570135746609,221,358,0.61731843575419
39,Eagles,Gap,23,10.0,12,0,22.000000000000004,0.9565217391304349,23,378,0.06084656084656084
40,Eagles,Other,105,47.600000000000016,24,0,71.60000000000002,0.6819047619047621,105,378,0.2777777777777778
41,Eagles,Zone,250,91.00000000000001,48,0,139.00000000000003,0.5560000000000002,250,378,0.6613756613756614
42,Falcons,Gap,50,20.299999999999997,6,0,26.299999999999994,0.5259999999999999,50,410,0.12195121951219512
43,Falcons,Other,155,94.70000000000005,30,0,124.70000000000002,0.8045161290322582,155,410,0.3780487804878049
44,Falcons,Zone,205,73.89999999999999,60,-3,130.90000000000006,0.638536585365854,205,410,0.5
45,Football Team,Gap,16,4.9,6,0,10.9,0.68125,16,316,0.05063291139240506
46,Football Team,Other,91,48.9,24,-1,71.89999999999996,0.7901098901098897,91,316,0.2879746835443038
47,Football Team,Zone,209,81.49999999999999,42,0,123.50000000000006,0.5909090909090912,209,316,0.6613924050632911
48,Giants,Gap,20,6.100000000000001,6,0,12.100000000000001,0.6050000000000001,20,387,0.05167958656330749
49,Giants,Other,119,73.90000000000002,42,-1,114.90000000000002,0.9655462184873951,119,387,0.30749354005167956
50,Giants,Zone,248,101.69999999999999,18,-1,118.7,0.4786290322580645,248,387,0.6408268733850129
51,Jaguars,Gap,32,13.3,24,0,37.3,1.165625,32,375,0.08533333333333333
52,Jaguars,Other,104,68.79999999999998,24,0,92.79999999999997,0.892307692307692,104,375,0.2773333333333333
53,Jaguars,Zone,239,97.10000000000005,78,-1,174.10000000000022,0.7284518828451892,239,375,0.6373333333333333
54,Jets,Gap,29,16.3,18,0,34.300000000000004,1.1827586206896554,29,380,0.07631578947368421
55,Jets,Other,154,94.3,48,-1,141.29999999999995,0.9175324675324672,154,380,0.4052631578947368
56,Jets,Zone,197,73.20000000000002,60,-3,130.20000000000005,0.6609137055837566,197,380,0.5184210526315789
57,Lions,Gap,13,8.8,0,0,8.8,0.676923076923077,13,415,0.03132530120481928
58,Lions,Other,116,62.100000000000016,18,0,80.1,0.6905172413793103,116,415,0.27951807228915665
59,Lions,Zone,286,119.99999999999994,72,-2,190.00000000000014,0.6643356643356648,286,415,0.689156626506024
60,Packers,Gap,12,4.1000000000000005,0,0,4.1000000000000005,0.34166666666666673,12,367,0.0326975476839237
61,Packers,Other,148,93.09999999999997,36,0,129.1,0.8722972972972972,148,367,0.4032697547683924
62,Packers,Zone,207,79.10000000000001,42,-1,120.10000000000002,0.5801932367149759,207,367,0.5640326975476839
63,Panthers,Gap,30,13.500000000000005,12,0,25.500000000000004,0.8500000000000001,30,379,0.079155672823219
64,Panthers,Other,110,53.100000000000016,18,0,71.10000000000002,0.6463636363636366,110,379,0.29023746701846964
65,Panthers,Zone,239,96.80000000000007,42,-2,136.80000000000007,0.572384937238494,239,379,0.6306068601583114
66,Patriots,Gap,37,17.900000000000002,0,-1,16.900000000000002,0.4567567567567568,37,378,0.09788359788359788
67,Patriots,Other,115,76.79999999999998,24,0,100.79999999999995,0.8765217391304344,115,378,0.30423280423280424
68,Patriots,Zone,226,86.59999999999998,30,-4,112.59999999999997,0.4982300884955751,226,378,0.5978835978835979
69,Raiders,Gap,37,15.699999999999996,18,0,33.70000000000001,0.9108108108108111,37,378,0.09788359788359788
70,Raiders,Other,118,56.90000000000001,24,-4,76.89999999999999,0.6516949152542372,118,378,0.31216931216931215
71,Raiders,Zone,223,86.70000000000007,48,0,134.70000000000007,0.6040358744394622,223,378,0.58994708994709
72,Rams,Gap,20,6.8999999999999995,0,0,6.8999999999999995,0.345,20,390,0.05128205128205128
73,Rams,Other,110,60.900000000000006,12,0,72.9,0.6627272727272728,110,390,0.28205128205128205
74,Rams,Zone,260,89.90000000000003,90,-1,178.89999999999998,0.688076923076923,260,390,0.6666666666666666
75,Ravens,Gap,31,6.699999999999999,12,0,18.699999999999996,0.6032258064516127,31,336,0.09226190476190477
76,Ravens,Other,93,39.199999999999996,0,0,39.199999999999996,0.42150537634408597,93,336,0.2767857142857143
